编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,精密宇宙学,9,JMYZX,5,precision_cosmology,19,jingmiyuzhouxue,15
2,标准宇宙模型,9,BZYZMX,6,standard_cosmological_model,27,biaozhunyuzhoumoxing,20
3,ΛCDM模型,9,ΛCDMMX,6,lambda_cdm_model,16,cdmmoxing,9
4,冷暗物质模型,9,LAWZMX,6,cold_dark_matter_model,22,lenganwuzhimoxing,17
5,暖暗物质模型,9,NAWZMX,6,warm_dark_matter_model,22,nuananwuzhimoxing,17
6,热暗物质模型,9,RAWZMX,6,hot_dark_matter_model,21,reanwuzhimoxing,15
7,动力暗能量,9,DLANL,5,dynamical_dark_energy,21,dongliannengliang,17
8,早期暗能量,9,ZQANL,5,early_dark_energy,17,zaoqiannengliang,16
9,暗能量状态方程,10,ANLZTFC,7,dark_energy_equation_of_state,29,annengliangzhuangtaifangcheng,29
10,宇宙学参数,9,YZXCS,5,cosmological_parameter,22,yuzhouxuecanshu,15
11,密度扰动,9,MDRD,4,density_perturbation,20,miduraodong,11
12,标量扰动,9,BLRD,4,scalar_perturbation,19,biaoliangraodong,16
13,矢量扰动,9,SLRD,4,vector_perturbation,19,shiliangraodong,15
14,张量扰动,9,ZLRD,4,tensor_perturbation,19,zhangliangraodong,17
15,原初扰动,9,YCRD,4,primordial_perturbation,23,yuanchuraodong,14
16,曲率扰动,9,QLRD,4,curvature_perturbation,22,qulvraodong,11
17,绝热扰动,9,JRRD,4,adiabatic_perturbation,22,juereraodong,12
18,等曲率扰动,9,DQLRD,5,isocurvature_perturbation,25,dengqulvraodong,15
19,功率谱,9,GLP,3,power_spectrum,14,gonglvpu,8
20,原初功率谱,9,YCGLP,5,primordial_power_spectrum,25,yuanchugonglvpu,15
21,标量谱指数,9,BLPZS,5,scalar_spectral_index,21,biaoliangpuzhishu,17
22,张量标量比,10,ZLBLB,5,tensor_to_scalar_ratio,22,zhangliangbiaoliangbi,21
23,非高斯性,10,FGSX,4,non_gaussianity,15,feigaosixing,12
24,局域型非高斯性,10,JYXFGSX,7,local_non_gaussianity,21,juyuxingfeigaosixing,20
25,等边型非高斯性,10,DBXFGSX,7,equilateral_non_gaussianity,27,dengbianxingfeigaosixing,24
26,马尔达西纳一致性关系,10,MEDXNYZXGX,10,maldacena_consistency_relation,30,maerdaxinayizhixingguanxi,25
27,慢滚参数,9,MGCS,4,slow_roll_parameter,19,manguncanshu,12
28,暴胀势,9,BZS,3,inflaton_potential,18,baozhangshi,11
29,单场暴胀,9,DCBZ,4,single_field_inflation,22,danchangbaozhang,16
30,多场暴胀,10,DCBZ,4,multi_field_inflation,21,duochangbaozhang,16
31,永恒暴胀,10,YHBZ,4,eternal_inflation,17,yonghengbaozhang,16
32,再加热,9,ZJR,3,reheating,9,zaijiare,8
33,预热机制,9,YRJZ,4,preheating_mechanism,20,yurejizhi,9
34,暴胀子,9,BZZ,3,inflaton,8,baozhangzi,10
35,暴胀涨落,9,BZZL,4,inflationary_fluctuation,24,baozhangzhangluo,16
36,宇宙相变,9,YZXB,4,cosmological_phase_transition,29,yuzhouxiangbian,15
37,电弱相变,9,DRXB,4,electroweak_phase_transition,28,dianruoxiangbian,16
38,QCD相变,9,QCDXB,5,qcd_phase_transition,20,qcdxiangbian,12
