编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,算术曲线,10,SSQX,4,arithmetic_curve,16,suanshuquxian,13
2,算术曲面,10,SSQM,4,arithmetic_surface,18,suanshuqumian,13
3,算术概形,10,SSGX,4,arithmetic_outline,18,suanshugaixing,14
4,整数模型,11,ZSMX,4,integer_model,13,zhengshumoxing,14
5,有理点,10,YLD,3,reasonable,10,youlidian,9
6,整点,10,ZD,2,on_the_hour,11,zhengdian,9
7,局部点,10,JBD,3,local_point,11,jubudian,8
8,阿代尔点,11,ADED,4,adair_point,11,adaierdian,10
9,高度函数,10,GDHS,4,height_function,15,gaoduhanshu,11
10,韦伊高度,10,WYGD,4,wey_height,10,weiyigaodu,10
11,规范高度,10,GFGD,4,gauge_height,12,guifangaodu,11
12,内隆模型,11,NLMX,4,neron_model,11,neilongmoxing,13
13,内隆泰特高度,11,NLTTGD,6,nerontate_height,16,neilongtaitegaodu,17
14,莫德尔韦伊群,11,MDEWYQ,6,modelwei_group,14,modeerweiyiqun,14
15,沙法列维奇泰特群,11,SFLWQTTQ,8,safarevich_tait_group,21,shafalieweiqitaitequn,21
16,塞尔默群,11,SEMQ,4,selmer_group,12,saiermoqun,10
17,二下降,10,EXJ,3,two_drops,9,erxiajiang,10
18,同源下降,10,TYXJ,4,homologous_decline,18,tongyuanxiajiang,16
19,椭圆曲线,10,TYQX,4,elliptic_curve,14,tuoyuanquxian,13
20,椭圆曲线导子,12,TYQXDZ,6,elliptic_curve_derivation,25,tuoyuanquxiandaozi,18
21,泰特曲线,10,TTQX,4,tate_curve,10,taitequxian,11
22,模曲线,10,MQX,3,module_curve,12,moquxian,8
23,谷山志村定理,11,GSZCDL,6,taniyama_shimura_theorem,24,gushanzhicundingli,18
24,模块性提升定理,12,MKXTSDL,7,modularity_promotion_theorem,28,mokuaixingtishengdingli,23
25,费马大定理,11,FMDDL,5,fermat_large_theorem,20,feimadadingli,13
26,伽罗瓦表示,11,GLWBS,5,galois_representation,21,galuowabiaoshi,14
27,l进表示,10,LJBS,4,l_indicates,11,ljinbiaoshi,11
28,p进表示,11,PJBS,4,p_advanced_expression,21,pjinbiaoshi,11
29,惰性群,10,DXQ,3,lazy_group,10,duoxingqun,10
30,分解群,10,FJQ,3,decomposition_group,19,fenjiequn,9
31,弗罗贝尼乌斯元,11,FLBNWSY,7,frobenius_dollar,16,fuluobeiniwusiyuan,18
32,局部域,11,JBY,3,local_field,11,jubuyu,6
33,全局域,10,QJY,3,global_field,12,quanjuyu,8
34,阿代尔环,10,ADEH,4,adair_ring,10,adaierhuan,10
35,伊代尔类群,11,YDELQ,5,idel_group,10,yidaierleiqun,13
36,类域论,11,LYL,3,domain_theory,13,leiyulun,8
