编号,概念中文名,难度,中文首字母,中文首字母串长度,概念英文名,英文字符串长度,概念中文拼音,拼音字符串长度
1,广义相对论,9,GYXDL,5,general_relativity,18,guangyixiangduilun,18
2,等效原理,9,DXYL,4,equivalence_principle,21,dengxiaoyuanli,14
3,强等效原理,10,QDXYL,5,strong_equivalence_principle,28,qiangdengxiaoyuanli,19
4,弱等效原理,10,RDXYL,5,weak_equivalence_principle,26,ruodengxiaoyuanli,17
5,广义协变性,10,GYXBX,5,general_covariance,18,guangyixiebianxing,18
6,时空,8,SK,2,spacetime,9,shikong,7
7,流形,8,LX,2,manifold,8,liuxing,7
8,黎曼流形,8,LMLX,4,riemannian_manifold,19,limanliuxing,12
9,洛伦兹流形,10,LLZLX,5,lorentzian_manifold,19,luolunziliuxing,15
10,度规,8,DG,2,metric,6,dugui,5
11,度规张量,10,DGZL,4,metric_tensor,13,duguizhangliang,15
12,逆度规,8,NDG,3,inverse_metric,14,nidugui,7
13,线元,8,XY,2,line_element,12,xianyuan,8
14,固有时,8,GYS,3,proper_time,11,guyoushi,8
15,固有距离,8,GYJL,4,proper_distance,15,guyoujuli,9
16,四维速度,8,SWSD,4,four_velocity,13,siweisudu,9
17,四维加速度,9,SWJSD,5,four_acceleration,17,siweijiasudu,12
18,四动量,8,SDL,3,four_momentum,13,sidongliang,11
19,测地线,8,CDX,3,geodesic,8,cedixian,8
20,测地线方程,10,CDXFC,5,geodesic_equation,17,cedixianfangcheng,17
21,仿射参数,8,FSCS,4,affine_parameter,16,fangshecanshu,13
22,克氏符,8,KSF,3,christoffel_symbol,18,keshifu,7
23,联络,9,LL,2,connection,10,lianluo,7
24,协变导数,10,XBDS,4,covariant_derivative,20,xiebiandaoshu,13
25,平行移动,8,PXYD,4,parallel_transport,18,pingxingyidong,14
26,曲率,9,QL,2,curvature,9,qulv,4
27,黎曼张量,10,LMZL,4,riemann_tensor,14,limanzhangliang,15
28,里奇张量,10,LQZL,4,ricci_tensor,12,liqizhangliang,14
29,里奇标量,8,LQBL,4,ricci_scalar,12,liqibiaoliang,13
30,爱因斯坦张量,10,AYSTZL,6,einstein_tensor,15,aiyinsitanzhangliang,20
31,能量动量张量,10,NLDLZL,6,stress_energy_tensor,20,nengliangdongliangzhangliang,28
32,爱因斯坦场方程,10,AYSTCFC,7,einstein_field_equation,23,aiyinsitanchangfangcheng,24
33,爱因斯坦宇宙常数,8,AYSTYZCS,8,aiyinsitanyuzhouchangshu,24,aiyinsitanyuzhouchangshu,24
34,真空场方程,10,ZKCFC,5,vacuum_field_equation,21,zhenkongchangfangcheng,22
35,测地偏离,8,CDPL,4,geodesic_deviation,18,cedipianli,10
36,相对论潮汐力,8,XDLCXL,6,xiangduilunchaoxili,19,xiangduilunchaoxili,19
37,基灵矢量,8,JLSL,4,killing_vector,14,jilingshiliang,14
38,守恒流,8,SHL,3,conserved_current,17,shouhengliu,11
39,局域惯性系,9,JYGXX,5,local_inertial_frame,20,juyuguanxingxi,14
40,局域洛伦兹系,10,JYLLZX,6,local_lorentz_frame,19,juyuluolunzixi,14
